Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),rain (mm),raining (s),SWDR (W/m),PAR (mol/m/s),max. PAR (mol/m/s),Tlog (degC),CO2 (ppm)
2024-04-19 19:00:00,977.6133333333333,5.151666666666666,280.1066666666666,4.588333333333334,96.14999999999999,8.82,8.478333333333333,0.34,5.413333333333333,8.673333333333334,1219.715,1.46,2.9566666666666666,242.85,0.03333333333333333,123.33333333333333,1.6483333333333334,3.9716666666666662,5.093333333333333,15.553333333333333,429.3666666666666
2024-04-19 20:00:00,977.8000000000001,5.086666666666667,280.02666666666664,4.343333333333333,94.95,8.781666666666666,8.338333333333333,0.44333333333333336,5.319999999999999,8.526666666666666,1220.2983333333334,2.066666666666667,3.6383333333333336,252.48333333333335,0.0,0.0,0.0,0.0,0.0,15.126666666666667,429.68333333333334
2024-04-19 21:00:00,977.98,4.8500000000000005,279.77833333333336,3.9866666666666664,94.11666666666667,8.638333333333334,8.13,0.5083333333333333,5.1883333333333335,8.311666666666666,1221.6533333333334,2.013333333333333,3.6633333333333336,249.5,0.0,0.0,0.0,0.0,0.0,14.511666666666665,429.1666666666667
2024-04-19 22:00:00,978.1733333333333,5.045,279.95666666666665,4.008333333333334,92.96666666666665,8.755,8.141666666666666,0.615,5.191666666666666,8.325000000000001,1221.0333333333333,2.111666666666667,3.875,246.5666666666667,0.0,10.0,0.0,0.0,0.0,14.361666666666666,430.0333333333333
2024-04-19 23:00:00,978.4033333333333,4.941666666666666,279.8333333333333,4.196666666666666,94.89999999999999,8.695,8.25,0.445,5.263333333333333,8.433333333333332,1221.7183333333335,2.67,5.373333333333334,257.71666666666664,0.06666666666666667,206.66666666666666,0.0,0.0,0.0,14.280000000000001,429.56666666666666
2024-04-20 00:00:00,978.7883333333333,5.065,279.92333333333335,4.316666666666666,94.91666666666667,8.768333333333333,8.32,0.445,5.305,8.501666666666667,1221.6383333333333,3.078333333333333,5.771666666666667,258.73333333333335,0.10000000000000002,145.0,0.0,0.0,0.0,13.938333333333333,431.55
2024-04-20 01:00:00,979.1,4.581666666666666,279.41166666666663,4.096666666666667,96.66666666666667,8.476666666666667,8.195,0.2833333333333333,5.223333333333334,8.37,1224.21,2.875,5.355,263.78333333333336,0.25,495.0,0.0,0.0,0.0,13.595,432.25
2024-04-20 02:00:00,979.805,4.246666666666667,279.02,3.805,96.93333333333334,8.276666666666666,8.026666666666666,0.25333333333333335,5.111666666666666,8.191666666666666,1226.6499999999999,2.651666666666667,5.71,271.46666666666664,0.26666666666666666,475.0,0.0,0.0,0.0,13.075000000000001,432.48333333333335
2024-04-20 03:00:00,980.9916666666667,4.183333333333334,278.85833333333335,3.8350000000000004,97.58333333333333,8.24,8.041666666666666,0.19999999999999998,5.114999999999999,8.196666666666667,1228.4183333333333,1.9216666666666669,4.526666666666666,276.4166666666667,0.08333333333333333,393.3333333333333,0.0,0.0,0.0,12.798333333333334,433.2
2024-04-20 04:00:00,982.1233333333333,4.013333333333334,278.59666666666664,3.6633333333333336,97.55,8.145,7.946666666666666,0.19999999999999998,5.048333333333333,8.09,1230.6333333333334,2.2983333333333333,4.746666666666667,275.68333333333334,0.05000000000000001,86.66666666666667,0.0,0.0,0.0,12.735,433.2166666666667
